brand,series,model,frame,poles,width_mm,height_mm,depth_mm
SANGDO,SBS,SBS-52,F50,2P,50,125,55
SANGDO,SBS,SBS-53,F50,3P,75,125,55
SANGDO,SBS,SBS-54,F50,4P,100,125,55
SANGDO,SBS,SBS-103,F100,3P,90,155,60
SANGDO,SBS,SBS-104,F100,4P,120,155,60
SANGDO,SBE,SBE-103,F100,3P,90,155,60
SANGDO,SBE,SBE-104,F100,4P,120,155,60
SANGDO,SBS,SBS-203,F225,3P,105,165,60
SANGDO,SBS,SBS-204,F225,4P,140,165,60
SANGDO,SBS,SBS-253,F250,3P,140,210,80
SANGDO,SBS,SBS-254,F250,4P,185,210,80
SANGDO,SBS,SBS-403,F400,3P,185,275,103
SANGDO,SBS,SBS-404,F400,4P,245,275,103
SANGDO,SBS,SBS-603,F600,3P,210,275,103
SANGDO,SBS,SBS-604,F600,4P,280,275,103
SANGDO,SBS,SBS-803,F800,3P,280,335,150
SANGDO,SBS,SBS-804,F800,4P,370,335,150
SANGDO,SES,SES-52,F50,2P,50,125,55
SANGDO,SES,SES-53,F50,3P,75,125,55
SANGDO,SES,SES-54,F50,4P,100,125,55
SANGDO,SES,SES-103,F100,3P,90,155,60
SANGDO,SES,SES-104,F100,4P,120,155,60
SANGDO,SEE,SEE-103,F100,3P,90,155,60
SANGDO,SEE,SEE-104,F100,4P,120,155,60
SANGDO,SES,SES-203,F225,3P,105,165,60
SANGDO,SES,SES-204,F225,4P,140,165,60